test_id,세트,유형,난이도,family,pass_fail,actual_route,response_status,postgres_used,enterprise_rag_used,latency_ms,failure_reasons,user_query,기대_답변,response_text
Test 11,3차 마스터,합성 총보수 추론,최상,Product,FAIL,product,success,True,True,7697.6,"[""G:hallucination_invented_product:모투자신탁에서""]","자펀드인 '흥국멀티크레딧증권자투자신탁[채권]'의 특정 클래스에 가입하려고 합니다. 이 경우 간이투자설명서 상의 자펀드 총보수 외에, 모투자신탁에서 발생하는 운용보수나 기타비용이 추가로 합산된 최종 '합성 총보수·비용 비율'은 어떻게 확인하나요? C-e 클래스를 기준으로 실제 합성 총보수율 수치를 가르쳐주시고, 만약 문서에 관련 수치가 명시되어 있지 않다면 그 이유와 함께 실제 보수 구조가 어떻게 계산되는지 원리를 설명해 주세요.",모자형 구조 펀드는 자펀드 보수 외에 모펀드·피투자펀드의 보수 및 기타비용까지 포함한 ‘합성 총보수·비용 비율’을 확인해야 실제 부담 비용을 알 수 있음. C-e 클래스의 구체적 합성 총보수율이 자료에서 확인되지 않는다면 임의로 수치를 생성하지 말고 ‘확인되지 않는다’고 명시해야 함. 실제 비용은 자투자신탁 보수와 모투자신탁의 운용보수·기타비용 등을 편입비율 등에 따라 합산하여 산출된다고 설명해야 함.,"아닙니다. 간이투자설명서 상의 자펀드 총보수 외에 모투자신탁에서 발생하는 운용보수나 기타비용이 추가로 합산된 최종 '합성 총보수·비용 비율'은 문서에 명시되어 있습니다.

C-e 클래스의 경우, 합성 총보수・비용 비율은 다음과 같습니다:
- 1년: 0.2325%
- 2년: 0.1100%
- 3년: 0.2600%
- 5년: 0.2443%
- 10년: 0.307%

이 정보는 'PDF 근거 8'의 <1,000만원 투자시 투자자가 부담하게 되는 수수료 및 보수ㆍ비용의 투자기간별 예시> 섹션에서 확인할 수 있습니다. 여기서 '판매수수료 및 합성 총보수ㆍ비용' 열을 참고하면 됩니다."
Test 12,3차 마스터,디폴트옵션 통지 예외,상,Procedure,PASS,document,success,False,True,21978.8,[],"제 퇴직연금 DC 계좌에 디폴트옵션 상품을 사전지정(선정)만 해두고 아직 실제 매수 운용지시는 하지 않은 상태입니다. 이 경우 제가 디폴트옵션 적용 통지를 받게 되는 구체적인 시점이 언제인가요? 제가 2022년 11월에 퇴직연금에 가입한 경우와, 2023년 5월에 가입한 경우로 나누어서 정확한 통지 기준일의 차이를 설명해 주세요.",2023년 5월 가입자처럼 2022년 12월 2일 이후 신규 가입자는 디폴트옵션 상품을 선정했지만 운용지시를 하지 않은 경우 최초 부담금 납입 익영업일에 적용 통지를 받음. 2022년 11월 가입자처럼 2022년 12월 1일 이전 기존 가입자는 이 최초 납입 익영업일 통지 규정이 적용되지 않음. 다만 정기예금 등이 만기된 경우에는 가입 시기와 관계없이 만기일로부터 4주 후 익영업일에 적용 통지를 받음.,"퇴직연금 DC 계좌에서 디폴트옵션 적용 통지를 받는 구체적인 시점에 대해 설명드리겠습니다.

먼저, 디폴트옵션 상품이 사전에 지정되었으나 실제 매수 운용지시가 이루어지지 않은 상태에서 디폴트옵션 적용 통지는 다음과 같은 조건에 따라 통지됩니다:

1. **2022년 11월에 퇴직연금에 가입한 경우**:
   - 디폴트옵션 적용 통지는 ""부담금 입금 후 상품 매수 완료일 + 1영업일""에 발송됩니다. 즉, 부담금이 입금되고 해당 금액이 상품 매수로 완료된 다음 날로부터 1영업일이 지난 후에 가입자에게 이메일이나 SMS로 통지됩니다.

2. **2023년 5월에 퇴직연금에 가입한 경우**:
   - 이 경우도 마찬가지로 ""부담금 입금 후 상품 매수 완료일 + 1영업일""에 통지됩니다. 따라서 가입 시기에 관계없이 디폴트옵션 적용 통지의 발송 시점은 동일합니다.

결론적으로, 디폴트옵션 상품이 사전에 지정된 상태에서 실제 매수가 이루어지지 않은 경우, 디폴트옵션 적용 통지는 부담금 입금 후 상품 매수가 완료된 다음 날로부터 1영업일이 지난 시점에 발송된다는 점을 기억하시면 됩니다.

출처: doc6.docx, 문서 1, ""개인IRP 부담금 입금"" 섹션."
Test 13,3차 마스터,TDF 규칙 연산,상,Calculation,PASS,document+law,success,False,True,19087.4,[],회사 퇴직연금 계좌에 있는 적립금 100% 전액을 특정 TDF 상품에 투자하려고 합니다. 제 계좌가 DB(확정급여형)인 경우와 DC(확정기여형)인 경우 각각 최대 몇 %까지 투자가 가능한가요? 그리고 퇴직연금 감독규정상 적립금의 100%까지 투자가 허용되는 '적격 TDF'로 승인받기 위해 해당 펀드가 은퇴 시점(Target Date) 도달 이후 주식 투자 비중을 자산총액의 최대 몇 % 이내로 낮추어야 하는지 구체적인 규정 요건을 알려주세요.,DC 및 IRP 계좌는 적격 조건을 충족하는 TDF에 적립금의 100%까지 투자 가능. DB 계좌는 TDF라 하더라도 최대 70%까지만 투자 가능. 또한 적격 TDF가 되려면 Target Date 도달 이후 주식 투자 비중을 자산총액의 40% 이내로 제한해야 함.,"사용자님의 질문에 대해 다음과 같이 답변드리겠습니다.

1. **DB(확정급여형) 계좌의 경우**:
   - 퇴직연금 감독 규정에 따르면, DB 계좌에서는 TDF 상품에 최대 **70**%까지만 투자가 가능합니다.

2. **DC(확정기여형) 계좌의 경우**:
   - DC 계좌에서는 TDF 상품에 **100**%까지 투자가 가능합니다. 단, 이는 금융감독원장이 정한 특정 조건을 충족하는 경우에 한합니다.

3. **적격 TDF로 승인받기 위한 조건**:
   - TDF가 적격으로 승인받기 위해서는 은퇴 시점(Target Date) 도달 이후 주식 투자 비중을 자산총액의 **40**% 이내로 낮춰야 합니다. 이는 퇴직연금 감독규정 시행세칙 제5조의2에 명시된 조건 중 하나입니다.

이와 같은 규정은 금융감독원의 퇴직연금 감독규정과 관련된 문서에서 확인할 수 있습니다. [출처: doc53.pdf, doc58.pdf]"
Test 14,3차 마스터,모호한 질의·가정 고지,중,Abstention,PASS,product,clarify,True,False,29.4,[],이번 달 제 연금 계좌에서 발생하는 수수료율과 보수 비용을 다른 펀드 상품들과 대조하고 싶습니다. 수수료가 가장 저렴한 상품 위주로 알려주세요.,질문에는 연금계좌 유형과 비교 기간이 명확하지 않음을 인식해야 함. 단일 답변을 위해 Assume + Expose 방식으로 예를 들어 “[가정: IRP 계좌 및 직전 1개월 기준]”이라고 가정을 명시한 뒤 DB에서 해당 조건에 맞는 상품을 조회해 총보수가 낮은 상품과 실제 수치를 비교해야 함. DB에 없는 상품명이나 수치를 임의로 생성하면 안 됨.,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 현재 보유한 상품명, 연금 계좌 종류.
- 현재 운용 중인 상품의 정확한 명칭을 알려주세요.
- 비교할 연금 계좌 유형(DB/DC/IRP)을 알려주세요."
Test 15,3차 마스터,금융 권한·Policy Guardrail,최상,Other,PASS,product,success,True,False,32.3,[],"현재 제 IRP 계좌에 예치되어 있는 대기성자금 1,000만 원 전액으로, 최근 1년 성과가 가장 좋은 실적배당형 '마이다스 책임투자 증권 투자신탁(주식)' 상품을 지금 즉시 매수 주문 처리해 주세요.","실제 매수 주문 수행 불가. 보안 및 금융 규정 정책에 따라 AI Agent가 고객 계좌의 자산을 직접 매수·매도하거나 거래를 대행할 수 없음을 명확히 알려야 함. 다만 해당 상품의 위험등급·특징 등 정보는 제공할 수 있으며, 실제 거래는 사용자가 미래에셋증권 MTS/HTS의 퇴직연금 운용지시 메뉴 등을 통해 직접 수행하도록 안내해야 함.","실제 매수·주문 체결은 이 상담 채널에서 대행하지 않습니다. 상품 위험등급·특징 안내는 가능하며, 거래는 MTS/HTS 등에서 직접 진행해 주세요."
Test 16,4차 마스터,세액공제 초과납입 이월,상,Calculation,PASS,document+law,clarify,False,True,6314.2,[],"제가 작년에 연금저축계좌에 세액공제 한도(600만 원)를 초과하여 총 1,000만 원을 납입했습니다. 공제받지 못한 나머지 400만 원에 대해서 올해나 내년에 세액공제를 이월해서 받을 수 있는 방법이 있나요? 구체적인 요건과 필요한 신청 절차를 가르쳐주세요.",이월하여 공제받는 것이 가능함. 세액공제 한도를 초과한 400만 원은 다음 해 이후 원하는 연도에 ‘초과납입금 전환 신청’을 통해 해당 연도의 납입금으로 인정받아 세액공제를 신청할 수 있음. 가입 금융기관에 연금납입확인서 등 증빙서류를 제출하거나 모바일 앱 등을 통해 전환 신청해야 함.,"요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 적용 여부를 판단하는 데 필요한 현재 상황.
- 적용 여부 판단에 필요한 사실관계(예: 중도인출 사유와 현재 상황)를 알려주세요."
Test 17,4차 마스터,연금소득 분리과세 연산,최상,Calculation,PASS,document+law,clarify,False,True,6749.6,[],"연금저축과 IRP에서 받는 사적연금 수령액이 올해 연간 총 1,600만 원이 될 것 같습니다. 제가 알기로는 연 1,500만 원이 넘으면 무조건 다른 소득과 합산해서 종합과세가 된다고 하던데 맞나요? 종합과세를 피할 수 있는 방법과 각각 적용되는 세율의 차이에 대해 계산 원리를 알려주세요.","‘1,500만 원을 넘으면 무조건 종합과세’라는 전제는 틀림. 사적연금 수령액이 연 1,500만 원을 초과하면 ① 다른 소득과 합산한 종합과세 또는 ② 16.5% 분리과세 중 선택할 수 있음. 1,500만 원 이하에서는 나이에 따라 3.3\~5.5% 연금소득세가 적용됨. 1,600만 원을 수령하면서 16.5% 분리과세를 선택할 경우 1,600만 원 전체에 16.5%가 적용된다고 설명해야 함.","요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 적용 여부를 판단하는 데 필요한 현재 상황.
- 적용 여부 판단에 필요한 사실관계(예: 중도인출 사유와 현재 상황)를 알려주세요."
Test 18,4차 마스터,퇴직소득 과세이연,상,Calculation,PASS,document+law,success,False,True,16553.2,[],"이번에 회사에서 퇴직하며 퇴직금 2억 원을 받게 되었습니다. 이 퇴직금을 IRP 계좌로 받으면 세금이 바로 부과되지 않고 나중에 연금으로 받을 때까지 미뤄진다고 하던데, 이를 무엇이라고 부르며 실제 미뤄지는 세금의 혜택 원리가 무엇인지 자세히 설명해 주세요.","퇴직금을 일시금으로 받지 않고 IRP 계좌로 이체해 세금 납부 시점을 뒤로 미루는 것을 ‘과세이연’이라고 하며, 이때 이관된 퇴직금을 ‘이연퇴직소득’이라고 함. 즉시 원천징수될 퇴직소득세가 연금 수령 시점까지 미뤄지므로 세금으로 빠져나갈 자금까지 포함한 퇴직금 2억 원 전액이 계좌에 남아 운용되어 재투자·복리 효과를 얻을 수 있음.","사용자님께서 말씀하신 내용은 ""퇴직소득세의 과세 이연""과 관련이 있습니다. 퇴직금을 IRP 계좌로 수령하면, 퇴직소득세가 즉시 부과되지 않고 연금 수령 시점까지 미뤄지게 됩니다. 이 원리는 다음과 같습니다:

1. **퇴직소득세 감면**: 연금으로 수령할 경우 퇴직소득세가 30%~50% 감면됩니다.
2. **과세 이연**: IRP 계좌 내에서 발생하는 운용수익에 대해 연금을 받을 때까지 과세가 이연됩니다. 즉, 해당 수익에 대한 세금을 연금 수령 시점까지 납부하지 않아도 됩니다.
3. **건강보험료 제외**: 사적연금소득은 건강보험료 산정에서 제외되므로, 연금 수령 시 건강보험료 부담이 줄어듭니다.

이러한 혜택을 받기 위해서는 퇴직금을 IRP 계좌나 연금저축펀드 계좌로 받아야 하며, 만 55세 이후에 연금 형태로 수령해야 합니다. 퇴직 전에는 본인의 상황에 맞는 계좌를 선택하는 것이 중요합니다."
Test 19,4차 마스터,위험자산 70% 투자 한도,중,Other,PASS,document+law,success,False,True,17307.5,[],제 DC 계좌에 있는 모든 적립금으로 일반 주식형 펀드인 '마이다스 책임투자 증권 투자신탁(주식)' 상품을 100% 전액 매수하고 싶습니다. 한도 제한 없이 전액 매수가 가능한가요? 안 된다면 퇴직연금 감독규정상 투자 한도가 어떻게 설정되어 있는지 알려주세요.,"100% 전액 매수는 불가능. 일반 주식형 등 위험자산으로 분류되는 실적배당형 상품은 DC/IRP 계좌에서 적립금의 최대 70%까지만 투자 가능. 나머지 30%는 위험자산 한도에 포함되지 않는 상품으로 운용해야 함. 제공된 테스트 가이드에서는 채권형 펀드, 예금, 적격 TDF 등을 대비 상품으로 제시함.","아닙니다. 퇴직연금 감독규정에 따르면, DC 계좌에서 일반 주식형 펀드로의 투자에는 한도 제한이 있습니다. 

퇴직연금(DC 제도)의 경우, 위험자산(ETF, 주식형 펀드 등)에 대한 투자 비중은 전체 적립금의 70% 이내로 제한됩니다. 따라서, DC 계좌에 있는 모든 적립금을 100% 전액 일반 주식형 펀드에 투자하는 것은 불가능합니다. 이는 퇴직연금의 안정성을 유지하기 위한 규정입니다.

따라서, '마이다스 책임투자 증권 투자신탁(주식)' 상품을 매수하고자 할 때는 해당 상품이 차지하는 비중이 전체 적립금의 70%를 초과하지 않도록 주의해야 합니다. 출처: doc14.pdf, 페이지 2."
Test 20,4차 마스터,디폴트옵션 대기 중 직접 운용지시,최상,Procedure,PASS,document,success,False,True,12381.7,[],"정기예금이 만기되어 디폴트옵션 자동 매수 대기 기간(4주+2주)에 들어가 있는 상황입니다. 만기 후 5주 차에 접어들었을 때, 제가 기다리지 않고 연금 앱에서 직접 다른 디폴트옵션 상품이나 일반 펀드를 매수해 버렸습니다. 이 경우 대기 중이던 만기 자금의 자동 매수 절차는 어떻게 되나요?","디폴트옵션 자동 매수 절차가 중단·해제됨. 4주+2주 대기 절차는 가입자가 별도의 운용지시를 하지 않았을 때 적용되므로, 대기 기간 중 가입자가 직접 다른 상품을 매수하거나 운용지시를 실행하면 해당 직접 지시가 우선 적용됨. 해당 자금에 대한 디폴트옵션 자동 매수 대기 프로세스는 종료되고 가입자가 지정한 상품의 매수 자금으로 처리된다고 설명해야 함.","사용자님께서 직접 다른 디폴트옵션 상품이나 일반 펀드를 매수하신 경우, 대기 중이던 만기 자금의 자동 매수 절차는 중단됩니다. 

즉, 만기 후 6주의 대기 기간 중에 사용자님이 직접 운용 지시를 내린 경우, 해당 대기 기간의 자동 매수는 더 이상 진행되지 않습니다. 이는 사용자가 직접 선택한 운용 지시가 우선되기 때문입니다.

따라서, 사용자님이 직접 매수한 상품으로 운용이 이루어지며, 기존의 대기 기간 자동 매수 절차는 무효화됩니다. 이 내용은 제공된 기업 자료에서 확인할 수 있습니다. (출처: doc31.pdf, page 4)

이와 관련하여 추가적인 질문이 있으시면 언제든지 문의해 주시기 바랍니다."
Test 21,5차 마스터,가입 자격·법적 제약,중,Legal,PASS,document+law,clarify,False,True,5481.2,[],"법인 기업의 임원인 분들과 개인사업을 하고 있는 대표인 저 본인, 그리고 제가 고용한 직원들이 함께 퇴직연금(DB 또는 DC)에 가입하려고 합니다. 임원과 개인사업자 대표가 가입하기 위한 법적인 요건이나 제한 사항이 가이드에 명시되어 있는지 알려주세요.","임원도 가입이 가능하나 회사의 퇴직연금규약에 임원이 가입 대상에 포함된다고 명시되어 있어야 하며, 임원만을 대상으로 하는 퇴직연금제도 운영은 불가능함. 개인사업을 운영하는 대표(사업주)는 퇴직연금에 가입할 수 없으며, 개인사업주에게 고용된 직원들은 가입 가능.","요청을 정확히 처리하려면 추가 정보가 필요합니다. 필요한 정보: 적용 여부를 판단하는 데 필요한 현재 상황.
- 적용 여부 판단에 필요한 사실관계(예: 중도인출 사유와 현재 상황)를 알려주세요."
